Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Madikeri -208,DR. MANTAR GOWDA,Indian National Congress,83949,930,84879,47.84
Madikeri -208,AMEEN MOHISIN,Social Democratic Party Of India,1426,10,1436,0.81
Madikeri -208,RASHEEDA BEGUM,Indian Movement Party,84,0,84,0.05
Madikeri -208,K.B.RAJU,Republican Party of India,112,4,116,0.07
Madikeri -208,SRINIVASA RAI B.K.(SATHISH),Karnataka Pragnyavantha Janatha Party,106,10,116,0.07
Madikeri -208,K.R.S.SAJEER NELAT.,Karnataka Rashtra Samithi,154,1,155,0.09
Madikeri -208,H.M.SOMAPPA,Communist Party of India,504,9,513,0.29
Madikeri -208,KHALEEL M.,Independent,247,2,249,0.14
Madikeri -208,SHRUTHI. K.P.,Independent,210,12,222,0.13
Madikeri -208,HARISH G.ACHARYA,Independent,123,1,124,0.07
Madikeri -208,G.G. HEMANTH KUMAR.,Independent,251,2,253,0.14
Madikeri -208,NOTA,None of the Above,1502,14,1516,0.85
Magadi -182,PRASAD GAWDA. K.R,Bharatiya Janata Party,20073,124,20197,9.97
Magadi -182,H. C. BALAKRISHNA,Indian National Congress,93956,694,94650,46.74
Magadi -182,A. MANJUNATH.,Janata Dal  (Secular),82281,530,82811,40.89
Magadi -182,RAVI KIRAN M N,Aam Aadmi Party,952,1,953,0.47
Magadi -182,RAMANNA N.,Bahujan Samaj Party,191,1,192,0.09
Magadi -182,"ABHISHEK, K. R",Karnataka Rashtra Samithi,260,0,260,0.13
Magadi -182,NAVEEN. H.S.,Uttama Prajaakeeya Party,867,3,870,0.43
Magadi -182,"KA,RA,VE,MADEGOWDA",Samajwadi Party,47,0,47,0.02
Magadi -182,MOHAMED SALMAN,Young Star Empowerment Party,63,1,64,0.03
Magadi -182,V.C. SACHIDANANDA MURTHY,Parisara Bandhu Party,36,5,41,0.02
Magadi -182,CHANDRASHEKAR. M.R,Independent,44,1,45,0.02
Magadi -182,BALAKRISHNA,Independent,91,0,91,0.04
Magadi -182,MOHAMED RAFIULLA,Independent,611,1,612,0.3
Magadi -182,MANJUNATHA.K.R,Independent,618,1,619,0.31
Magadi -182,MANJUNATH.U,Independent,451,1,452,0.22
Magadi -182,NOTA,None of the Above,600,4,604,0.3
Mahadevapura -174,C R NATARAJ,Aam Aadmi Party,4546,5,4551,1.36
Mahadevapura -174,H NAGESH,Indian National Congress,136875,355,137230,41.01
Mahadevapura -174,PRASAD K C,Bahujan Samaj Party,1023,3,1026,0.31
Mahadevapura -174,MANJULA S,Bharatiya Janata Party,181268,463,181731,54.31
Mahadevapura -174,GOPALAKRISHNA M V,Janata Dal  (United),454,4,458,0.14
Mahadevapura -174,NAGARAJ R,Uttama Prajaakeeya Party,2617,10,2627,0.79
Mahadevapura -174,SHIVAJI R LAMANI,Karnataka Rashtra Samithi,603,2,605,0.18
Mahadevapura -174,ANAND KUMAR N,Independent,191,1,192,0.06
Mahadevapura -174,S M KRISHNA,Independent,137,0,137,0.04
Mahadevapura -174,NATARAJ D N,Independent,123,0,123,0.04
Mahadevapura -174,PUTTAPPA,Independent,177,2,179,0.05
Mahadevapura -174,BHARATHRAJ J,Independent,269,2,271,0.08
Mahadevapura -174,R MANIKUMAR,Independent,200,1,201,0.06
Mahadevapura -174,YALLAPPA,Independent,157,0,157,0.05
Mahadevapura -174,RAVI J,Independent,353,0,353,0.11
Mahadevapura -174,NOTA,None of the Above,4758,17,4775,1.43
Mahalakshmi Layout -156,KESHAVAMURTHY S,Indian National Congress,45100,159,45259,28.45
Mahalakshmi Layout -156,K. GOPALAIAH,Bharatiya Janata Party,95967,457,96424,60.6
Mahalakshmi Layout -156,N. NARAYANASWAMY,Bahujan Samaj Party,440,2,442,0.28
Mahalakshmi Layout -156,K C RAJANNA,Janata Dal  (Secular),9202,39,9241,5.81
Mahalakshmi Layout -156,SHANTHALA DAMLE,Aam Aadmi Party,1593,7,1600,1.01
Mahalakshmi Layout -156,MELROY AMIT REBELLO,Karnataka Rashtra Samithi,252,3,255,0.16
Mahalakshmi Layout -156,ASWATHA,Indian Movement Party,82,1,83,0.05
Mahalakshmi Layout -156,CHETAN. R,Desh Prem Party,97,0,97,0.06
Mahalakshmi Layout -156,S. MURALI,Akhil Bharat Hindu Mahasabha,125,0,125,0.08
Mahalakshmi Layout -156,LAKSHMINARAYANA M R,Uttama Prajaakeeya Party,2848,5,2853,1.79
Mahalakshmi Layout -156,SRINIVASAMURTHY,Karnataka Pragnyavantha Janatha Party,111,1,112,0.07
Mahalakshmi Layout -156,N GIRISH GOWDA,Independent,325,1,326,0.2
Mahalakshmi Layout -156,NOTA,None of the Above,2279,7,2286,1.44
Malavalli -186,Dr|| K. Annadani,Janata Dal  (Secular),59078,574,59652,30.13
Malavalli -186,M. Krishnamurthy,Bahujan Samaj Party,2249,28,2277,1.15
Malavalli -186,P.M.Narendraswamy,Indian National Congress,105413,1085,106498,53.79
Malavalli -186,Prof|| B.C.Mahadevaswamy,Aam Aadmi Party,973,7,980,0.49
Malavalli -186,G. Muniraju,Bharatiya Janata Party,24910,206,25116,12.69
Malavalli -186,Nagaraja Murthy. C.M,Bharathiya Belaku Party,214,0,214,0.11
Malavalli -186,Nandeesh Kumar M.,Karnataka Rashtra Samithi,257,4,261,0.13
Malavalli -186,Annadani C.,Independent,140,2,142,0.07
Malavalli -186,Uma. J.,Independent,329,4,333,0.17
Malavalli -186,Madhaw Ciran. M.S,Independent,145,4,149,0.08
Malavalli -186,Mohan Kumar.M.L,Independent,139,2,141,0.07
Malavalli -186,Mantyalingu,Independent,255,5,260,0.13
Malavalli -186,Sathishkumar T. N.,Independent,390,0,390,0.2
Malavalli -186,H.B. Sudha,Independent,311,3,314,0.16
