Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Belgaum Rural -13,Ganesh Prakash Singannavar,Republican Party of India (A),155,1,156,0.08
Belgaum Rural -13,Shakuntala A Iliger,Karnataka Rashtra Samithi,110,0,110,0.05
Belgaum Rural -13,Basavaraj Kallappa Kuddemmi,Independent,152,2,154,0.08
Belgaum Rural -13,Ravikumar David Panditi,Independent,261,4,265,0.13
Belgaum Rural -13,R. M. Chougule,Independent,41362,138,41500,20.29
Belgaum Rural -13,Rupesh Gurunath Kadu,Independent,226,3,229,0.11
Belgaum Rural -13,Sanjeev Pranesh Ganachari,Independent,218,0,218,0.11
Belgaum Rural -13,NOTA,None of the Above,1157,8,1165,0.57
Belgaum Uttar -11,Asif (Raju) Sait,Indian National Congress,68863,321,69184,46.28
Belgaum Uttar -11,DR. RAVI B. PATIL,Bharatiya Janata Party,64312,641,64953,43.45
Belgaum Uttar -11,Rajkumar Topannavar,Aam Aadmi Party,535,7,542,0.36
Belgaum Uttar -11,Shivanand M Mugalihal,Janata Dal  (Secular),522,5,527,0.35
Belgaum Uttar -11,Dilashad W/o Sikandar Tashiladar,Republican Party of India,91,0,91,0.06
Belgaum Uttar -11,Praveen Basavaraj Hiremath,Kalyana Rajya Pragathi Paksha,124,0,124,0.08
Belgaum Uttar -11,Basavaraj  Muragesh Jarali,Karnataka Rashtra Samithi,89,1,90,0.06
Belgaum Uttar -11,Mallappa C. Chougala,Uttama Prajaakeeya Party,204,3,207,0.14
Belgaum Uttar -11,Amar Kisan  Yallurakar,Independent,11702,41,11743,7.86
Belgaum Uttar -11,Ashok Basavant Govekar,Independent,147,3,150,0.1
Belgaum Uttar -11,Kashiram Bishan Chavhan,Independent,61,0,61,0.04
Belgaum Uttar -11,Nagesh Divate,Independent,176,1,177,0.12
Belgaum Uttar -11,Magdum Ismailmagdum,Independent,66,0,66,0.04
Belgaum Uttar -11,Vishal Gayakwad,Independent,108,0,108,0.07
Belgaum Uttar -11,Shrinivas Suresh Talawar,Independent,293,1,294,0.2
Belgaum Uttar -11,NOTA,None of the Above,1152,9,1161,0.78
Bellary -93,Jaliyal Rudrappa,Aam Aadmi Party,765,2,767,0.42
Bellary -93,B Nagendra,Indian National Congress,103030,806,103836,56.84
Bellary -93,Nayakar Krishnappa,Bahujan Samaj Party,947,2,949,0.52
Bellary -93,B Sreeramulu,Bharatiya Janata Party,74031,505,74536,40.8
Bellary -93,Valmiki Ugandara,Karnataka Rashtra Samithi,532,0,532,0.29
Bellary -93,T H Mallikarjuna,Independent,354,0,354,0.19
Bellary -93,K Shambhulinga,Independent,246,3,249,0.14
Bellary -93,Shanmukha Naveen Babu,Independent,325,2,327,0.18
Bellary -93,NOTA,None of the Above,1122,20,1142,0.63
Bellary City -94,ANIL H LAD,Janata Dal  (Secular),602,8,610,0.34
Bellary City -94,V.DODDA KESHAVAREDDY,Aam Aadmi Party,714,2,716,0.4
Bellary City -94,NARA BHARATH REDDY,Indian National Congress,85800,640,86440,48.47
Bellary City -94,BABU KURUVALLI,Bahujan Samaj Party,513,2,515,0.29
Bellary City -94,G. SOMASEKHARA REDDY,Bharatiya Janata Party,36751,404,37155,20.83
Bellary City -94,ALESHWARA GOWDA.H,Janahitha Paksha,170,2,172,0.1
Bellary City -94,Dr: K.R. RAVI KUMAR,Desh Prem Party,394,1,395,0.22
Bellary City -94,GALI LAKSHMI ARUNA,Kalyana Rajya Pragathi Paksha,48118,459,48577,27.24
Bellary City -94,R VENUGOPAL,Samajwadi Party,194,0,194,0.11
Bellary City -94,C.SHARANA BASAPPA,Republican Party of India (Karnataka),142,2,144,0.08
Bellary City -94,ALLIPUR SRINIVAS REDDY,Karnataka Rashtra Samithi,123,0,123,0.07
Bellary City -94,R. SOMASHEKAR GOUD,Socialist Unity Centre Of India (COMMUNIST),245,2,247,0.14
Bellary City -94,B.ARUN KUMAR,Independent,85,0,85,0.05
Bellary City -94,ASHOK KUMAR REDDY P.V,Independent,195,1,196,0.11
Bellary City -94,AHMED MOHAMMED,Independent,125,0,125,0.07
Bellary City -94,UPPAR ANIL KUMAR,Independent,242,0,242,0.14
Bellary City -94,K.AJAY KUMAR,Independent,90,0,90,0.05
Bellary City -94,P CHAND BASHA,Independent,79,1,80,0.04
Bellary City -94,ZAKIR.M.I.M,Independent,396,0,396,0.22
Bellary City -94,BHARATH,Independent,321,0,321,0.18
Bellary City -94,MOHAMMED RIYAZ AHMED,Independent,143,1,144,0.08
Bellary City -94,DR.B.R.MANJUNATHA,Independent,81,0,81,0.05
Bellary City -94,S.B.SHIVA KUMAR,Independent,109,0,109,0.06
Bellary City -94,SRIDHAR.K,Independent,210,0,210,0.12
Bellary City -94,NOTA,None of the Above,975,8,983,0.55
Belthangady -200,ASHRAF ALIKUNHI MUNDAJE,Janata Dal  (Secular),550,6,556,0.29
Belthangady -200,JANARDHANA BANGERA,Aam Aadmi Party,272,6,278,0.15
Belthangady -200,RAKSHITH SHIVARAM,Indian National Congress,81840,948,82788,43.8
Belthangady -200,HARISH POONJA,Bharatiya Janata Party,99489,1515,101004,53.44
Belthangady -200,AKBAR BELTHANGADY,Social Democratic Party Of India,2502,11,2513,1.33
Belthangady -200,ADITHYA NARAYANA KOLLAJE,Sarvodaya Karnataka Paksha,452,2,454,0.24
Belthangady -200,SHAILEESH R .J.,Tuluvere Paksha,304,4,308,0.16
Belthangady -200,MAHESH AUTO,Independent,210,4,214,0.11
Belthangady -200,NOTA,None of the Above,886,6,892,0.47
Belur -195,GANGADHAR BAHUJAN,Bahujan Samaj Party,1507,13,1520,0.93
Belur -195,H.P. PARVATHE GOWDA,Aam Aadmi Party,1009,1,1010,0.62
Belur -195,K.S. LINGESHA,Janata Dal  (Secular),38446,447,38893,23.71
Belur -195,B. SHIVARAMU,Indian National Congress,55221,614,55835,34.04
Belur -195,H.K. SURESH (HULLALLI SURESH),Bharatiya Janata Party,62628,943,63571,38.76
Belur -195,ADESHA CHOWDANAHALLI,Karnataka Rashtra Samithi,469,6,475,0.29
Belur -195,D.D. LOKESH DEVIHALLI,Republican Party of India (Karnataka),153,1,154,0.09
Belur -195,DINESH GOWRIRAM,Independent,225,0,225,0.14
Belur -195,PARAMESHA N.M,Independent,428,0,428,0.26
Belur -195,HANIKE PRADEEPA,Independent,284,2,286,0.17
Belur -195,JAVAGAL MALLIKARJUN D.R,Independent,294,0,294,0.18
Belur -195,MAHESH B.R,Independent,549,14,563,0.34
Belur -195,NOTA,None of the Above,740,27,767,0.47
Bhadravati -112,ANANDA MARUTHI MEDICALS,Aam Aadmi Party,1373,14,1387,0.89
Bhadravati -112,MANGOTE RUDRESH,Bharatiya Janata Party,21014,265,21279,13.7
Bhadravati -112,SHARADA APPAJI,Janata Dal  (Secular),62948,555,63503,40.89
Bhadravati -112,B.K. SANAGAMESHWARA,Indian National Congress,65654,554,66208,42.63
Bhadravati -112,BASAVARAJA P.E.,Republican Party of India (Karnataka),426,0,426,0.27
Bhadravati -112,SHASHIKUMAR GOWDA,Janata Dal  (United),134,1,135,0.09
Bhadravati -112,SUMITHRA BAI,Karnataka Rashtra Samithi,238,1,239,0.15
Bhadravati -112,AHAMAD ALI,Independent,107,0,107,0.07
Bhadravati -112,JOHN BENNY,Independent,212,2,214,0.14
Bhadravati -112,B.N.RAJU,Independent,93,0,93,0.06
Bhadravati -112,MOHAN GOWDA M.TECH,Independent,102,2,104,0.07
Bhadravati -112,RAJASHEKAR.S,Independent,287,2,289,0.19
Bhadravati -112,SHASHIKUMAR. Y,Independent,374,5,379,0.24
Bhadravati -112,S.K. SUDHEENDRA,Independent,144,1,145,0.09
Bhadravati -112,NOTA,None of the Above,794,9,803,0.52
Bhalki -51,ESHWAR KHANDRE,Indian National Congress,98708,743,99451,56.9
Bhalki -51,TUKARAM HAJARE S/O NARAYANRAO,Aam Aadmi Party,947,2,949,0.54
Bhalki -51,PRAKASH KHANDRE,Bharatiya Janata Party,71270,475,71745,41.05
Bhalki -51,ROUF PATEL,Janata Dal  (Secular),636,0,636,0.36
Bhalki -51,SIDRAM VAIJINATH,Karnataka Rashtra Samithi,59,0,59,0.03
Bhalki -51,ABDUL JAMEEL INAMDAR,Independent,40,0,40,0.02
Bhalki -51,AMBADAS . J . SALANKE,Independent,62,0,62,0.04
Bhalki -51,UMESH GUNDERAO PANDRE,Independent,45,2,47,0.03
Bhalki -51,GANESH S/O GOVIND,Independent,45,0,45,0.03
Bhalki -51,PANDURANG SHARNAPPA,Independent,73,2,75,0.04
Bhalki -51,B. A. BOROLE,Independent,202,0,202,0.12
Bhalki -51,VAIJINATH S/O BAJIRAO TAGARE,Independent,376,0,376,0.22
Bhalki -51,S. VAIJAYNATH. G.,Independent,240,0,240,0.14
Bhalki -51,NOTA,None of the Above,842,9,851,0.49
Bhatkal -79,DR.NASEEM KHAN,Aam Aadmi Party,1003,4,1007,0.58
Bhatkal -79,NAGENDRA NAIK,Janata Dal  (Secular),1462,40,1502,0.86
Bhatkal -79,MANKAL VAIDYA,Indian National Congress,99603,839,100442,57.45
Bhatkal -79,SUNIL B. NAIK,Bharatiya Janata Party,66946,825,67771,38.76
Bhatkal -79,PRAKASH  PINTO,Bharathiya Belaku Party,623,4,627,0.36
Bhatkal -79,YOGESH NAIK,Uttama Prajaakeeya Party,635,11,646,0.37
Bhatkal -79,GUNAVANTE SHANKAR GOUDA,Karnataka Rashtra Samithi,549,9,558,0.32
Bhatkal -79,GAFOOR SAB,Independent,654,8,662,0.38
Bhatkal -79,MOHAMMED ZABROOD KHATEEB,Independent,406,4,410,0.23
Bhatkal -79,NOTA,None of the Above,1219,4,1223,0.7
Bidar -50,ANILKUMAR TUKARAM KHASHAMPURE,Bahujan Samaj Party,405,3,408,0.27
Bidar -50,ISHWAR SINGH THAKUR,Bharatiya Janata Party,17505,274,17779,11.83
Bidar -50,Gulam Ali,Aam Aadmi Party,2032,0,2032,1.35
Bidar -50,Rahim Khan,Indian National Congress,68287,878,69165,46.03
Bidar -50,SURYAKANTH NAGAMARPALLI,Janata Dal  (Secular),57628,757,58385,38.85
Bidar -50,"ASHOK KARANJI, GADGI",Sarvajanika Adarsha Sena,480,1,481,0.32
Bidar -50,MAHESH GORNALKAR,Republican Party of India (A),282,5,287,0.19
Bidar -50,Hanamanth Matte,Karnataka Rashtra Samithi,365,1,366,0.24
Bidar -50,Gundoji,Independent,239,1,240,0.16
Bidar -50,SHASHIKUMAR S POLICE PATIL CHAWLI,Independent,468,1,469,0.31
Bidar -50,GNANESHWAR JAISURYA HOSAMANI,Independent,122,0,122,0.08
Bidar -50,NOTA,None of the Above,541,2,543,0.36
Bidar South -49,ASHOK KHENY,Indian National Congress,48433,176,48609,31.69
Bidar South -49,KAPIL GODBOLE,Bahujan Samaj Party,644,1,645,0.42
Bidar South -49,M.NASEEMUDDIN PATEL,Aam Aadmi Party,5093,11,5104,3.33
Bidar South -49,BANDEPPA KHASHEMPUR,Janata Dal  (Secular),31157,217,31374,20.45
Bidar South -49,DR. SHAILENDRA BELDALE,Bharatiya Janata Party,49593,279,49872,32.51
Bidar South -49,TUKARAM GOURE,Karnataka Rashtra Samithi,779,0,779,0.51
Bidar South -49,BHEEMA SHANKAR POLICE PATIL,Kalyana Rajya Pragathi Paksha,498,2,500,0.33
Bidar South -49,SHIVRAJ BABU,Rashtriya Samaj Paksha,529,0,529,0.34
Bidar South -49,CHANDRA SINGH,Independent,14796,41,14837,9.67
Bidar South -49,SHIVAKUMAR PATIL,Independent,462,2,464,0.3
Bidar South -49,NOTA,None of the Above,670,1,671,0.44
Bijapur City -30,ABDUL HAMEED KHAJASAB MUSHARIF,Indian National Congress,85442,536,85978,46.97
Bijapur City -30,BASANAGOUDA R PATIL (YATNAL),Bharatiya Janata Party,93326,885,94211,51.47
Bijapur City -30,BANDENAWAZ  HUSENASAB MAHABARI,Janata Dal  (Secular),456,3,459,0.25
Bijapur City -30,KENGANAL MALLIKARJUN BHIMAPPA,Bahujan Samaj Party,210,3,213,0.12
Bijapur City -30,HASIMPEER I WALIKAR,Aam Aadmi Party,178,1,179,0.1
Bijapur City -30,MALLIKARJUN H T,Socialist Unity Centre Of India (COMMUNIST),49,0,49,0.03
Bijapur City -30,RAKESH H INGALAGI (HALAHALLI),Karnataka Rashtra Samithi,46,1,47,0.03
Bijapur City -30,SATISH ASHOK PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),149,0,149,0.08
Bijapur City -30,IRAPPA  KUMBAR,Independent,46,0,46,0.03
Bijapur City -30,KADECHUR KALLAPPA REVANASIDDAPPA,Independent,73,1,74,0.04
Bijapur City -30,CHANDRAGIRI HONNAD,Independent,54,0,54,0.03
Bijapur City -30,MOTIRAM DHARMU CHAVAN,Independent,118,0,118,0.06
Bijapur City -30,MODINASAB BANDAGISAB ANKALAGI,Independent,134,1,135,0.07
Bijapur City -30,RAJU YALLAPPA PAWAR,Independent,351,0,351,0.19
Bijapur City -30,NOTA,None of the Above,993,1,994,0.54
Bilgi -22,J. T. PATIL.,Indian National Congress,94832,820,95652,51.75
Bilgi -22,KOMAR MUTTAPPA.,Aam Aadmi Party,761,5,766,0.41
Bilgi -22,NIRANI MURAGESH RUDRAPPA,Bharatiya Janata Party,83513,1010,84523,45.73
Bilgi -22,RUKMUDDIN SOUDAGAR,Janata Dal  (Secular),773,3,776,0.42
Bilgi -22,NARASIMHA M RAYKAR,Uttama Prajaakeeya Party,392,6,398,0.22
Bilgi -22,BASALINGAYYA RAJASHEKHARAYYA HOMBALIMATH,Karnataka Rashtra Samithi,82,0,82,0.04
Bilgi -22,RAJAKUMAR TIMMANNA NYAMAGOUD,Kalyana Rajya Pragathi Paksha,179,2,181,0.1
Bilgi -22,KRISHNA KALE,Independent,212,0,212,0.11
Bilgi -22,YALLAPPA  HEGADYAR @ HEGADE,Independent,664,6,670,0.36
Bilgi -22,DR|| L. C. PATIL,Independent,248,0,248,0.13
Bilgi -22,NOTA,None of the Above,1323,6,1329,0.72
Bommanahalli -175,Umapathi Babu .N,Bahujan Samaj Party,606,4,610,0.28
Bommanahalli -175,Umapathy Srinivasa Gowda,Indian National Congress,89168,191,89359,41.56
Bommanahalli -175,K. Narayan Raju,Janata Dal  (Secular),3426,19,3445,1.6
Bommanahalli -175,SATHISH REDDY .M,Bharatiya Janata Party,113195,379,113574,52.82
Bommanahalli -175,Sitharamu,Aam Aadmi Party,1979,10,1989,0.92
Bommanahalli -175,Nanda Reddy,Karnataka Rashtra Samithi,309,4,313,0.15
Bommanahalli -175,MAMATHA .R,Uttama Prajaakeeya Party,1813,6,1819,0.85
Bommanahalli -175,Sivarama Kotegowda,Navabharath Sena,100,0,100,0.05
Bommanahalli -175,Abdul Khadar G. S. Y,Independent,93,1,94,0.04
Bommanahalli -175,Adil Pasha .S,Independent,95,1,96,0.04
Bommanahalli -175,Anthony Raj .J,Independent,155,3,158,0.07
Bommanahalli -175,Nijamuddin,Independent,198,2,200,0.09
Bommanahalli -175,Sathish Reddy,Independent,356,3,359,0.17
Bommanahalli -175,Sathish Reddy .M,Independent,461,4,465,0.22
Bommanahalli -175,NOTA,None of the Above,2453,3,2456,1.14
Byadgi -85,Basavaraj Neelappa Shivannanavar,Indian National Congress,97052,688,97740,55.58
Byadgi -85,M N NAIK,Aam Aadmi Party,770,2,772,0.44
Byadgi -85,Ballari Virupakshappa Rudrappa,Bharatiya Janata Party,73270,629,73899,42.02
Byadgi -85,Sunita M Pujar,Janata Dal  (Secular),842,7,849,0.48
Byadgi -85,Lohitha Namadeva,Uttama Prajaakeeya Party,474,6,480,0.27
Byadgi -85,Vishwanatharaddi D Radder,Karnataka Rashtra Samithi,428,2,430,0.24
Byadgi -85,SAYED FAHEEM GUDAGERI,Indian Movement Party,201,1,202,0.11
Byadgi -85,NOTA,None of the Above,1482,9,1491,0.85
Byatarayanapura -152,KRISHNA BYREGOWDA,Indian National Congress,159781,401,160182,54.43
Byatarayanapura -152,GIRISH K,Aam Aadmi Party,1267,4,1271,0.43
Byatarayanapura -152,THAMMESH GOWDA H C,Bharatiya Janata Party,121531,447,121978,41.45
Byatarayanapura -152,NAGARAJ GOWDA P,Janata Dal  (Secular),4356,9,4365,1.48
Byatarayanapura -152,NAZIR AHMED,Indian Labour Party (Ambedkar Phule),110,0,110,0.04
Byatarayanapura -152,PRATAP R,Karnataka Rashtra Samithi,315,0,315,0.11
Byatarayanapura -152,MAQSOOD AHMED,Navarang Congress Party,46,0,46,0.02
Byatarayanapura -152,MANJUNATHA CHARI K,Rashtriya Janahita Party,64,0,64,0.02
Byatarayanapura -152,BRIGADIER RAVI MUNISWAMY,Sarvajanika Adarsha Sena,307,0,307,0.1
Byatarayanapura -152,RAHEEM K.R. HALLI,Uttama Prajaakeeya Party,1484,6,1490,0.51
Byatarayanapura -152,RANJITHA N,Akhil Bharat Hindu Mahasabha,119,1,120,0.04
Byatarayanapura -152,SAMPOORNA GOWDA,Samajwadi Party,172,3,175,0.06
Byatarayanapura -152,KALID KHAN,Independent,104,0,104,0.04
Byatarayanapura -152,T DASAPPA,Independent,131,0,131,0.04
Byatarayanapura -152,NAGARAJA G,Independent,92,1,93,0.03
Byatarayanapura -152,RAMESH M,Independent,586,1,587,0.2
Byatarayanapura -152,VENKATRAMU K V,Independent,553,0,553,0.19
Byatarayanapura -152,NOTA,None of the Above,2378,5,2383,0.81
Byndoor -118,GURURAJ SHETTY GANTIHOLE,Bharatiya Janata Party,97447,1181,98628,53.12
Byndoor -118,K. GOPAL POOJARY,Indian National Congress,81518,957,82475,44.42
Byndoor -118,MANSOOR IBRAHIM.,Janata Dal  (Secular),827,14,841,0.45
Byndoor -118,CA. RAMANANDA PRABHU,Aam Aadmi Party,184,3,187,0.1
Byndoor -118,PRASAD. S,Uttama Prajaakeeya Party,620,6,626,0.34
Byndoor -118,KOLLUR MANJUNATHA. NAIK BE,Rashtriya Samaj Dal (R),163,8,171,0.09
Byndoor -118,CHANDRASHEKAR. G.,Independent,597,16,613,0.33
Byndoor -118,SHYAMA. B,Independent,292,4,296,0.16
Byndoor -118,H SURESH POOJRAI,Independent,633,5,638,0.34
Byndoor -118,NOTA,None of the Above,1199,9,1208,0.65
C.V. Raman Nagar -161,ANAND KUMAR. S,Indian National Congress,52602,231,52833,40.85
C.V. Raman Nagar -161,ANJI. V.,Bahujan Samaj Party,335,2,337,0.26
C.V. Raman Nagar -161,MOHAN DASARI,Aam Aadmi Party,2953,14,2967,2.29
C.V. Raman Nagar -161,S. RAGHU,Bharatiya Janata Party,68848,380,69228,53.53
C.V. Raman Nagar -161,CHAITRA. G,Uttama Prajaakeeya Party,885,7,892,0.69
C.V. Raman Nagar -161,DR. MANJUNATHA. S.,Karnataka Rashtra Samithi,173,2,175,0.14
C.V. Raman Nagar -161,M. RAJENDRA,Republican Party of India,132,0,132,0.1
C.V. Raman Nagar -161,S. CHANDRA SHEKAR,Independent,165,6,171,0.13
C.V. Raman Nagar -161,P. RAMESH,Independent,448,0,448,0.35
C.V. Raman Nagar -161,RAKESH KUMAR,Independent,143,0,143,0.11
C.V. Raman Nagar -161,NOTA,None of the Above,1982,17,1999,1.55
Challakere -98,ANIL KUMAR. R,Bharatiya Janata Party,22737,157,22894,12.86
Challakere -98,MARAKKA,Aam Aadmi Party,3069,3,3072,1.73
Challakere -98,T. RAGHUMURTHY,Indian National Congress,67363,589,67952,38.16
Challakere -98,RAVISH KUMAR.M,Janata Dal  (Secular),51236,266,51502,28.92
Challakere -98,C. BHOJARAJA,Karnataka Rashtra Samithi,1138,1,1139,0.64
Challakere -98,ANJAMMA,Independent,713,2,715,0.4
Challakere -98,K.T. KUMAR SWAMY,Independent,28928,220,29148,16.37
Challakere -98,NOTA,None of the Above,1632,7,1639,0.92
Chamaraja -217,CHANDRASHEKAR,Bahujan Samaj Party,362,1,363,0.24
Chamaraja -217,L. NAGENDRA.,Bharatiya Janata Party,68418,419,68837,45.7
Chamaraja -217,MALAVIKA GUBBIVANI,Aam Aadmi Party,783,6,789,0.52
Chamaraja -217,H. K. RAMESH (RAVI) M.B.A,Janata Dal  (Secular),4488,61,4549,3.02
Chamaraja -217,K. HARISH GOWDA,Indian National Congress,72519,412,72931,48.42
Chamaraja -217,D.P.K. PARAMESH,Karnataka Rashtra Samithi,286,1,287,0.19
Chamaraja -217,M. PANCHALINGU,Country Citizen Party,63,0,63,0.04
Chamaraja -217,PRABHA NANDISH,Uttama Prajaakeeya Party,904,3,907,0.6
Chamaraja -217,SEEMA.G.S.,Socialist Unity Centre Of India (COMMUNIST),78,2,80,0.05
Chamaraja -217,MANOJKUMAR. M,Independent,143,2,145,0.1
Chamaraja -217,R. YOGANARASIMHAMURTHY,Independent,123,0,123,0.08
Chamaraja -217,SALEEM AHAMED,Independent,90,1,91,0.06
Chamaraja -217,SIDDARAJU H D. (KAVERI MESS),Independent,106,0,106,0.07
Chamaraja -217,T.S. SURESH,Independent,163,0,163,0.11
Chamaraja -217,NOTA,None of the Above,1175,6,1181,0.78
Chamarajanagar -223,Dr.Guruprasad,Aam Aadmi Party,923,2,925,0.53
Chamarajanagar -223,C. Puttarangashetty,Indian National Congress,83136,722,83858,48.46
Chamarajanagar -223,Mallikarjuna swamy A .M,Janata Dal  (Secular),1077,5,1082,0.63
Chamarajanagar -223,HA.RA.MAHESH,Bahujan Samaj Party,6373,88,6461,3.73
Chamarajanagar -223,V.Somanna,Bharatiya Janata Party,75753,572,76325,44.1
Chamarajanagar -223,Abhilash.K,Uttama Prajaakeeya Party,896,0,896,0.52
Chamarajanagar -223,G.M.Gadkar,Samajwadi Janata Party(Karnataka),183,1,184,0.11
Chamarajanagar -223,P.Gurusiddappa,Bharathiya Belaku Party,270,0,270,0.16
Chamarajanagar -223,M.Nagendra Babu,Karnataka Jantha Paksha,147,0,147,0.08
Chamarajanagar -223,Prasanna Kumar.B,Karnataka Praja Party (RaithaParva),202,0,202,0.12
Chamarajanagar -223,H.C Mahesh Kumar,Sarvodaya Karnataka Paksha,197,1,198,0.11
Chamarajanagar -223,Vatal Nagaraj,Kannada Chalavali Vatal Paksha,654,4,658,0.38
Chamarajanagar -223,C.L.SRINIVAS SHASTHTI,Karnataka Rashtra Samithi,210,1,211,0.12
Chamarajanagar -223,Nagesha.K,Independent,277,0,277,0.16
Chamarajanagar -223,Ningaraju,Independent,569,0,569,0.33
Chamarajanagar -223,NOTA,None of the Above,790,4,794,0.46
Chamrajpet -168,C.GOVINDARAJ,Janata Dal  (Secular),19046,40,19086,15.3
Chamrajpet -168,JAGADISH CHANDRA .C,Aam Aadmi Party,680,2,682,0.55
Chamrajpet -168,B.Z.ZAMEER AHMED KHAN,Indian National Congress,77532,99,77631,62.22
Chamrajpet -168,NARASIMHA MURTHY,Bahujan Samaj Party,913,3,916,0.73
Chamrajpet -168,BHASKAR RAO,Bharatiya Janata Party,23549,129,23678,18.98
Chamrajpet -168,T.R.JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,133,0,133,0.11
Chamrajpet -168,PAVANKUMAR.K.J,Karnataka Rashtra Samithi,102,0,102,0.08
Chamrajpet -168,RUKMANGADA.S,Navabharath Sena,119,1,120,0.1
Chamrajpet -168,V.SOMASHEKAR,Uttama Prajaakeeya Party,774,5,779,0.62
Chamrajpet -168,ASGAR A MOHEEN.S.M.,Independent,69,0,69,0.06
Chamrajpet -168,ANAND.K.S,Independent,327,0,327,0.26
Chamrajpet -168,DR|| SHIVAKUMAR .M,Independent,114,0,114,0.09
Chamrajpet -168,NOTA,None of the Above,1126,4,1130,0.91
Chamundeshwari -215,KAVEESH GOWDA. V.,Bharatiya Janata Party,50807,511,51318,20.77
Chamundeshwari -215,KIRAN NAGESH KALYANI,Aam Aadmi Party,1883,7,1890,0.76
Chamundeshwari -215,JAYASHANKARA. J. (SHYAM),Bahujan Samaj Party,1381,12,1393,0.56
Chamundeshwari -215,G. T. DEVEGOWDA,Janata Dal  (Secular),103917,956,104873,42.44
Chamundeshwari -215,S. SIDDEGOWDA,Indian National Congress,78730,643,79373,32.12
Chamundeshwari -215,M. S. PRAVEEN.,Karnataka Rashtra Samithi,1065,5,1070,0.43
Chamundeshwari -215,SHIVANNA. B .,Karnataka Praja Party (RaithaParva),296,1,297,0.12
Chamundeshwari -215,S. HARISHA,Uttama Prajaakeeya Party,2202,17,2219,0.9
Chamundeshwari -215,M. NAGARAJU,Independent,240,0,240,0.1
Chamundeshwari -215,G. M. MAHADEVA,Independent,320,3,323,0.13
Chamundeshwari -215,M. M. MAHESHA GOWDA,Independent,593,1,594,0.24
Chamundeshwari -215,M. RANGASWAMY,Independent,627,5,632,0.26
Chamundeshwari -215,SIDDEGOWDA,Independent,344,4,348,0.14
Chamundeshwari -215,SURESH,Independent,328,0,328,0.13
Chamundeshwari -215,NOTA,None of the Above,2207,13,2220,0.9
Channagiri -109,ADIL KHAN S K,Aam Aadmi Party,241,4,245,0.15
Channagiri -109,TEJASWI. V. PATEL.,Janata Dal  (Secular),1204,12,1216,0.73
Channagiri -109,PRAVEENA. H.,Bahujan Samaj Party,518,5,523,0.31
Channagiri -109,BASAVARAJU V SHIVAGANGA,Indian National Congress,77414,849,78263,47.03
Channagiri -109,H. S. SHIVAKUMAR,Bharatiya Janata Party,21229,238,21467,12.9
Channagiri -109,CHANDRASHEKHARA.CHANNAGIRI.,Uttama Prajaakeeya Party,1002,15,1017,0.61
Channagiri -109,DONIHALLI MANJUNATHA GOWDRU,Karnataka Rashtra Samithi,197,1,198,0.12
Channagiri -109,M. ROOPA KAGATURU,Kalyana Rajya Pragathi Paksha,182,1,183,0.11
Channagiri -109,KUBENDRA SWAMY. T,Independent,433,4,437,0.26
Channagiri -109,MADAL MALLIKARJUNA,Independent,61260,568,61828,37.16
Channagiri -109,HARISH HALLI.,Independent,468,2,470,0.28
Channagiri -109,NOTA,None of the Above,552,3,555,0.33
Channapatna -185,H.D. KUMARASWAMY,Janata Dal  (Secular),95892,700,96592,48.83
Channapatna -185,GANGADHAR.S,Indian National Congress,15344,30,15374,7.77
Channapatna -185,G.CHANDRASHEKARAIAH,Bahujan Samaj Party,934,8,942,0.48
Channapatna -185,C.P. YOGESHWARA,Bharatiya Janata Party,79918,759,80677,40.79
Channapatna -185,C.P.SHARATH CHANDRA,Aam Aadmi Party,823,1,824,0.42
Channapatna -185,PRAJAAKEEYA ABHISHEK.S,Uttama Prajaakeeya Party,677,1,678,0.34
Channapatna -185,GIRISH.L,Samajwadi Party,47,0,47,0.02
Channapatna -185,C.M.SHABAZ KHAN,Young Star Empowerment Party,60,0,60,0.03
Channapatna -185,SHYAMALA,Karnataka Rashtra Samithi,111,3,114,0.06
Channapatna -185,SYED JAVEED,Indian Movement Party,78,0,78,0.04
Channapatna -185,ANDANAIAH,Independent,237,0,237,0.12
Channapatna -185,KUMARA SWAMY A. C,Independent,230,2,232,0.12
Channapatna -185,KRISHNA.A,Independent,499,0,499,0.25
Channapatna -185,PRADEEP. T. V,Independent,128,0,128,0.06
Channapatna -185,SHIVARAMASHETTY. D,Independent,204,0,204,0.1
Channapatna -185,NOTA,None of the Above,1109,1,1110,0.56
Chickpet -169,ARUN PRASAD. A,Bahujan Samaj Party,230,0,230,0.18
Chickpet -169,IMRAN PASHA,Janata Dal  (Secular),1582,6,1588,1.23
Chickpet -169,UDAY B. GARUDACHAR,Bharatiya Janata Party,57136,163,57299,44.48
Chickpet -169,R. V. DEVRAJ,Indian National Congress,45114,72,45186,35.07
Chickpet -169,BRIJESH KALAPPA,Aam Aadmi Party,595,5,600,0.47
Chickpet -169,K H NAVEEN,Karnataka Rashtra Samithi,114,1,115,0.09
Chickpet -169,M. V. VISHNU,Uttama Prajaakeeya Party,753,4,757,0.59
Chickpet -169,P. AMARNATH,Independent,60,0,60,0.05
